state,date,positive,probableCases,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,Rank,Population,Latitude,Longitude,increase_x,pct_trend_adjusted,increase_y
VT,03 March,63.89655172413793,0.0,1010.5862068965517,0.0,1259.344827586207,0.7241379310344828,3.7241379310344827,0.0,0.0,0.0,0.0,0.5172413793103449,3.2413793103448274,3.7241379310344827,1259.344827586207,0.0,0.0,63.89655172413793,0.0,0.0,0.0,1074.4827586206898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.10344827586207,132.3793103448276,1074.4827586206898,153.3448275862069,1074.4827586206898,0.4482758620689655,1.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,47.0,626562.0,44.04587599999999,-72.71068599999995,-155.97441601779755,,
WA,03 March,2305.7096774193546,0.0,30008.8064516129,4.064516129032258,32314.516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.09677419354838,0.0,0.0,0.0,0.0,2305.7096774193546,0.0,0.0,32314.516129032258,31446.16129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,223.58064516129033,2627.064516129032,32318.58064516129,2850.6451612903224,32314.516129032258,8.290322580645162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7061530.0,47.400902000000016,-121.49049400000004,2241.8131256952165,34.80078653846154,
WI,03 March,357.3103448275862,46.206896551724135,4679.896551724138,1.6551724137931034,5417.448275862069,0.0,11.620689655172415,0.0,0.0,0.0,0.0,0.0,3.6206896551724137,11.620689655172415,0.0,0.0,0.0,311.1034482758621,0.0,0.0,5417.448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.6551724137931,599.1379310344828,5038.862068965517,702.8275862068965,5037.206896551724,0.5517241379310345,11.620689655172415,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5757564.0,44.268542999999994,-89.61650800000002,-1948.3993325917684,45.79419741935484,
WV,03 March,28.153846153846153,0.0,695.5,5.6923076923076925,723.6538461538462,0.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.4230769230769231,0.0,0.0,0.0,28.153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.230769230769231,153.07692307692307,729.3461538461538,159.30769230769232,723.6538461538462,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1850326.0,38.49122599999999,-80.95445300000004,-329.1564986737401,,
WY,03 March,22.967741935483872,0.0,423.80645161290323,0.0,797.7096774193549,0.0,2.3870967741935485,0.0,0.0,0.0,0.0,4.0,0.0,2.3870967741935485,797.7096774193549,36.45161290322581,761.258064516129,24.096774193548388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.5161290322580645,64.48387096774194,446.7741935483871,94.2258064516129,446.7741935483871,0.0,0.5483870967741935,0.0,0.0,0.0,0.0,0.0,0.0,52.0,584153.0,42.755965999999965,-107.30249000000002,-5.186104218362281,,
New Hampshire,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.21516870967743,
New Jersey,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97368709677419,
New Mexico,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.23700000000001,
New York,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0567229032258,
North Carolina,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.67062161290322,
North Dakota,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.682667419354836,
South Carolina,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.60963451612903,
West Virginia,03 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.90022870967744,
