state,date,positive,probableCases,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,Rank,Population,Latitude,Longitude,increase_x,pct_trend_adjusted,increase_y
ME,03 March,84.8,0.0,1799.04,3.24,1883.84,0.0,4.24,0.0,0.0,0.0,0.0,9.32,0.52,4.24,0.0,0.0,0.0,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.12,243.48,1887.08,255.6,1883.84,0.2,2.28,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1330089.0,44.69394699999999,-69.38192699999996,-237.4962962962963,42.21951206896552,
MI,03 March,5472.967741935484,78.06451612903226,4770.580645161291,6.935483870967742,10243.548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.35483870967742,0.0,6445.677419354839,1710.516129032258,4735.1612903225805,5394.903225806452,90.87096774193549,5.32258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,601.2903225806451,849.483870967742,10250.483870967742,1450.774193548387,10243.548387096775,17.774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9909877.0,43.32661800000003,-84.53609499999995,5388.167741935484,43.646378387096775,
MN,03 March,308.46153846153845,0.0,5748.538461538462,0.0,6057.0,10.461538461538462,19.73076923076923,1.9230769230769231,3.8846153846153846,0.0,0.0,29.03846153846154,1.8076923076923077,19.73076923076923,0.0,0.0,0.0,308.46153846153845,0.0,0.0,6057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,35.19230769230769,803.8076923076923,6057.0,839.0,6057.0,0.46153846153846156,4.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5457173.0,45.69445399999998,-93.90019200000005,-5164.506203473946,,
MO,03 March,248.16,0.0,2147.12,0.0,5026.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,5026.28,475.68,4546.2,248.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53.08,584.56,2395.28,766.64,2395.28,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6063589.0,38.45608500000001,-92.288368,-60.301538461538456,50.22914903225806,
MS,03 March,231.2,0.0,1008.32,0.0,1239.52,0.0,58.56,0.0,0.0,0.0,0.0,0.0,3.36,58.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.48,141.48,1239.52,178.96,1239.52,0.8,8.44,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2994079.0,32.74164599999998,-89.67869599999996,-16.960000000000008,56.92727258064516,
MT,03 March,42.72,0.0,1223.16,2.28,1265.88,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.4,1.88,602.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.36,168.92,1268.16,176.28,1265.88,0.16,0.56,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1023579.0,46.92192500000001,-110.45435300000004,-188.48,55.524481935483884,
NC,03 March,296.17857142857144,0.0,5300.785714285715,10.785714285714286,5596.964285714285,21.678571428571427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,53.464285714285715,771.7142857142857,5607.75,825.1785714285714,5596.964285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9943964.0,35.63006599999998,-79.80641899999999,253.45857142857145,,
ND,03 March,28.76,0.0,1101.92,2.08,1119.32,0.0,4.76,0.0,0.0,0.0,0.0,3.92,0.28,4.76,1132.84,0.0,0.0,28.76,0.0,0.0,1119.32,1088.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.68,165.24,1132.76,163.0,1130.68,0.12,0.84,0.0,0.0,0.0,0.0,0.0,0.0,35.0,739482.0,47.528912,-99.78401200000003,-267.41857142857145,,
NE,03 March,36.03225806451613,0.0,569.6451612903226,6.774193548387097,725.6451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,725.6451612903226,25.483870967741936,678.2903225806451,0.0,0.0,0.0,0.0,390.2903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.548387096774194,94.54838709677419,612.4516129032259,96.03225806451613,605.6774193548387,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1881503.0,41.12536999999998,-98.26808200000004,7.2722580645161266,,
NH,03 March,68.78571428571429,0.0,1289.5357142857142,290.07142857142856,1740.1785714285713,0.0,7.892857142857143,0.0,0.0,0.0,0.0,0.0,0.5,7.892857142857143,1740.1785714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.142857142857142,192.96428571428572,1648.392857142857,222.64285714285714,1358.3214285714287,0.10714285714285714,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1326813.0,43.452491999999985,-71.56389600000004,32.753456221198164,,
NJ,03 March,2983.8387096774195,0.0,4689.354838709677,24.29032258064516,7673.193548387097,357.4193548387097,0.0,0.0,0.0,0.0,0.0,0.0,50.516129032258064,0.0,0.0,0.0,0.0,2985.3548387096776,37.41935483870968,13.096774193548388,0.0,7673.193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,603.0967741935484,873.4516129032259,7697.4838709677415,1476.5483870967741,7673.193548387097,11.741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8938175.0,40.298904,-74.521011,2915.0529953917053,,
NM,03 March,76.22222222222223,0.0,4097.962962962963,0.0,4174.185185185185,3.8518518518518516,0.0,0.0,0.0,0.0,0.0,2.962962962962963,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.666666666666666,478.1111111111111,4174.185185185185,489.77777777777777,4174.185185185185,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2085572.0,34.84051499999999,-106.24848199999998,-2907.6164874551973,,
